canary_index	sample_class	process_or_mode	campaign	member_name	member_type	size_bytes	content_opened	content_extracted	status
1	signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	./hepmc/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard000_seed86000_pythia8.hepmc	regular_file	277191545	False	False	payload_identified_and_protected
2	signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	./root/vbf_hh4b_sm_run2_frozen_v2_pilot_shard9301_10k_delphes.root	regular_file	894255671	False	False	payload_identified_and_protected
2	signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	./parquet/vbf_hh4b_sm_run2_frozen_v2_pilot_shard9301_10k_event_summary.parquet	regular_file	245562	False	False	payload_identified_and_protected
2	signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	./parquet/vbf_hh4b_sm_run2_frozen_v2_pilot_shard9301_10k_hh4b_candidates_v2.parquet	regular_file	266578	False	False	payload_identified_and_protected
2	signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	./source/unweighted_events.lhe.gz	regular_file	11199528	False	False	payload_identified_and_protected
3	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	./parquet/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard001_10k_hh4b_candidates_v2.parquet	regular_file	64462	False	False	payload_identified_and_protected
3	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	./parquet/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard001_10k_event_summary.parquet	regular_file	249747	False	False	payload_identified_and_protected
3	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	./root/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard001_10k_delphes.root	regular_file	924652710	False	False	payload_identified_and_protected
3	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	./source/unweighted_events.lhe.gz	regular_file	10807538	False	False	payload_identified_and_protected
4	background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	./root/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_delphes.root	regular_file	870890574	False	False	payload_identified_and_protected
4	background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	./parquet/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_event_summary.parquet	regular_file	245128	False	False	payload_identified_and_protected
4	background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	./parquet/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_hh4b_candidates_v2.parquet	regular_file	189794	False	False	payload_identified_and_protected
4	background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	./source/unweighted_events.lhe.gz	regular_file	11725729	False	False	payload_identified_and_protected
5	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	./parquet/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1819_seed1201819_hh4b_candidates_v2.parquet	regular_file	600	False	False	payload_identified_and_protected
5	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	./parquet/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1819_seed1201819_event_summary.parquet	regular_file	237299	False	False	payload_identified_and_protected
5	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	./hepmc/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1819_seed1201819.hepmc	regular_file	2456006502	False	False	payload_identified_and_protected
5	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	./root/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1819_seed1201819_delphes.root	regular_file	788155996	False	False	payload_identified_and_protected
6	background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	./root/ttz_zbb_run2_frozen_v2_waveb_pilot_shard1002_10000evt_delphes.root	regular_file	1010039021	False	False	payload_identified_and_protected
6	background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	./parquet/ttz_zbb_run2_frozen_v2_waveb_pilot_shard1002_10000evt_event_summary.parquet	regular_file	249963	False	False	payload_identified_and_protected
6	background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	./parquet/ttz_zbb_run2_frozen_v2_waveb_pilot_shard1002_10000evt_hh4b_candidates_v2.parquet	regular_file	468374	False	False	payload_identified_and_protected
6	background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	./source/unweighted_events.lhe.gz	regular_file	12876263	False	False	payload_identified_and_protected
